text,label
紧急通知：您的账户存在安全风险，请立即点击链接验证。,1
您的银行账户需要重新验证，请点击以下链接完成操作。,1
您的账户余额不足，请尽快充值。,1
您的账户存在异常登录，请立即处理。,1
如信息错误，及时联系教务处更正,1
确认信息,1
登录并核对信息,1
您的学籍信息需要更新，请点击链接完成。,1
您的健康档案需要更新，请立即点击链接完成。,1
紧急通知：您的医保账户存在异常，请立即处理。,1
您的体检报告已生成，请点击链接查看。,1
您有一笔未完成的交易，请立即登录处理。,1
您的订单信息需要确认，请点击链接完成。,1
您的账户存在风险，请立即更改密码。,1
您的包裹无法送达，请点击链接更新信息。,1
紧急通知：您的包裹存在安全问题，请立即处理。,1
您的账户存在异常登录，请立即重置密码。,1
您的账户即将被锁定，请立即点击链接验证。,1
您的电费账单已生成，请立即支付。,1
紧急通知：您的电费账户存在异常，请立即处理。,1
您的捐赠信息需要确认，请点击链接完成。,1
紧急通知：您的捐赠账户存在异常，请立即处理。,1
您的旅行预订需要确认，请点击链接完成。,1
紧急通知：您的旅行计划存在变更，请立即处理。,1
您的保单需要更新，请点击链接完成。,1
紧急通知：您的保险账户存在异常，请立即处理。,1
您的法律文件需要签署，请点击链接完成。,1
紧急通知：您的法律案件需要处理，请立即联系。,1
您的外卖订单需要确认，请点击链接完成。,1
紧急通知：您的餐厅预订存在异常，请立即处理。,1
http://example.com,1
我们很抱歉地通知您，由于监测到可疑活动，您的账户目前面临被冻结的风险。为了能够继续访问您的帐户并保护您的数据，请点击下面的链接，立即验证并更新您的帐户信息。否则的话，可能会导致帐户永久冻结。,1
希望您看到这条消息时一切安好！很遗憾，我们注意到您方最近的发票仍未付款，现已过期。为了避免滞纳金和潜在的法律诉讼，我们请您通过点击下面的链接来结算未付款项，您可以在附件的中查看发票细节。,1
我们的系统诊断在您的帐户中存在一个关键问题，需要立即修复以防止数据丢失和服务中断。请拨打我们的专业支持团队或点击下面的链接与我们的技术人员进行远程会话。他们将指导您完成必要的步骤，以迅速有效地解决此问题。,1
紧急通知：您的账户存在安全风险，请立即点击链接验证。,1
您的账户需要重新验证，请点击以下链接完成操作。,1
您的密码已过期，请尽快更改。,1
您的账户存在异常登录，请立即处理。,1
您的账户被锁定，请点击链接解锁。,1
